,id,text,class,chatGPT_few_default_1,chatGPT_few_default_2,chatGPT_zero_default_1,chatGPT_zero_default_2,chatGPT_zero_specific_1,chatGPT_zero_specific_2,chatGPT_few_specific_1,chatGPT_few_specific_2,chatGPT_counterfactual_default_1,chatGPT_counterfactual_default_2,chatGPT_counterfactual_specific_1,chatGPT_counterfactual_specific_2,id_y,class_y,flan_xl_few_default_1,flan_xl_few_default_2,flan_xl_few_default_3,flan_xl_zero_default_1,flan_xl_zero_default_2,flan_xl_zero_default_3,flan_xl_zero_specific_1,flan_xl_zero_specific_2,flan_xl_zero_specific_3,flan_xl_few_specific_1,flan_xl_few_specific_2,flan_xl_few_specific_3,flan_xl_counterfactual_default_1,flan_xl_counterfactual_default_2,flan_xl_counterfactual_default_3,flan_xl_counterfactual_specific_1,flan_xl_counterfactual_specific_2,flan_xl_counterfactual_specific_3
0,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64",Are you an educator looking for ways to help immigrant youth? Here are 4 things you can start doing this week to provide support. Please share and help another teacher stay informed!   To learn more go to #InformedImmigrant https://t.co/dqszTCGctr,0,0,0,0,0,0,0,0,0,0,0,0,0,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64","#Germany: Doctor Stabbed to Death in His Own Surgery by #Somali Asylum Seeker #Migrant, His 10-Year-Old Daughter Forced to Watch#Aliens #IllegalImmigrants #IllegalImmigration #Muslims #BanSharia #AngelaMerkel",1,1,3,1,1,1,1,1,1,1,1,1,1,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64","Merkel, Lavrov discuss return of Syrian refugees. Watch for it, if Syrians return home, the international Left will find another bunch of refugees that MUST be placed in your US town! https://t.co/FhDwFV2SOE",0,3,3,1,1,1,3,1,0,0,1,0,0,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64","Each week, a new refugee chef... and a new menu! ðŸ_x008d_´ https://t.co/YJnRtz3CMG",0,0,0,0,0,0,0,0,0,0,0,0,0,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64","@RealJamesWoods Calling them #IllegalAliens is heartless. Therfore, I won't call them #IllegalAliens.",0,0,0,1,1,1,0,1,1,1,1,0,1,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64",Thank you to the @DunhamFund and Dick Ebeling for their support in continuing to inspire students and promote #STEM renovation projects! https://t.co/mq8xWiAc5x,0,0,3,0,0,0,0,0,0,0,0,0,0,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64",Like I'm so glad you guys are standing with skales against that boy with the gutter mouth and pot hole face .,0,3,0,1,1,1,1,1,1,1,0,0,1,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64",Blocking people is my cardio,0,0,0,0,0,0,0,0,0,0,0,0,0,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64","#AmericaFirst #Trump2020 #BuildTheWall #RaiseAct #EndDACA #MAGA #Veterans #BlueLivesMatter If you don't agree, I DON""T CARE!",0,0,3,1,1,1,1,1,1,1,3,1,1,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
10266    32456
5761      5962
8547      8748
8722      8923
10353    31421
Name: id, Length: 250, dtype: int64",Immigration policies around the world need to be redone.... https://t.co/U06wEsujPC,0,3,0,0,0,0,0,0,0,0,3,3,0,"2426      2627
9182     34354
4314      4515
2619      2820
10472    32142
         ...  
5136      5337
8022      8223
11847    32071
6373      6574
6385      6586
Name: id, Length: 500, dtype: int64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
