,id,text,og_svm,mcad_svm,chatgpt_svm,flan_svm
0,2969,Oh look....    #WheresBoris   #BorisJohnsonShouldNotBePM https://t.co/d032PBnY3i,1,1,1,1
1,6429,"America is the only country in history to fight a war to end slavery. Democrats won’t fight the predominantly black, Muslim run countries that continue slavery today. Nor do they care about kids made sex slaves by the drug cartels.  Democrats are dog .",0,0,1,0
2,2599,@AaronBlake There's no lost in translation when this #douchebag speaks!!! #sad #dipshit,1,1,0,0
3,4304,These are the same government doctors who have resigned from their post!    P. S : this is not some private chamber or nursing home.. These are government hospitals  #resignedbutstillservinghumanity   #DoctorsFightBack #Savethedoctors @republic @timesofindia @sambitswaraj https://t.co/1pqcT3FYAI,1,1,1,1
4,6446,"Ah, you’re racist and anti-Semitic. That explains it.",1,1,1,1
5,4500,When you tell your mom you got into a political altercation with her lifelong friend and had to unfriend them.  My mom is #ShadyAF  #DontMessWithHerGirls  #MyMomRocks  #MyMom  #FuckTrump https://t.co/G5hpTMI37n,1,1,1,1
6,4359,@realDonaldTrump That's right.  You're #1!!     #1 #Instigator   #1 #Asswipe  #1 #Bully  #1 #Cheater  #1 #Thief  #1 #Clown  #1 #Douchebag  #1 #Liar  .........and #1 most #BankruptedUSCompany,1,1,1,1
7,2126,Even John Barron &amp; John Miller call BS. #douchebag #POTUS https://t.co/lPm7UGG52W,1,1,1,1
8,682,"#NewIndia में कमजोर @BCCI मंजुर नहीं. @narendramodi  sir, please do something ??? It’s matter of Indian pride #BalidaanBadge #DhoniKeepsTheGlove @PMOIndia @GautamGambhir @AmitShah @KirenRijiju",0,1,0,0
9,2956,#HappyBirthdayMrPresident I mean FAUX KING @POTUS   @realDonaldTrump #ImbecileIsHome #Dotard #fucktrump https://t.co/qQmUPjUymt,1,1,1,1
10,4518,This gay couple’s neighbor has torched their car &amp; tried to shoot them. Police won’t help them. #Resist #ResistTrump #FuckTrump https://t.co/LQQaKDVrYe,0,1,0,0
11,6075,National Cathedral Leaders Humiliate Trump By Condemning His Racism #Resist #ResistTrump #FuckTrump ,1,1,1,1
12,3440,"If4England #Ashes is more Important than #WorldCup2019,Then No More  @ICC Games will be played in England? Is England still looksUganda as d facilities seems! #ShameOnICC Cheating dFans!Surprisingly, No Eng,Aus WashOut sofar? Unfair Advantage, still Gentlemans Game",1,1,0,1
13,1239,"The replies to this tweet illustrate the difference between Facebook and twitter in Tennessee. 😃😃😃 also, #FuckTrump. https://t.co/s1TtVX2nyR",1,1,1,1
14,834,"@The_Trump_Train @realDonaldTrump Try again, #bot  #MAGA2020 #FUCKINGTRAITORS #TrumpSupportersAreFuckingMorons #TrumpIsATraitor #TrumpSupportersAreTraitors #TrumpsAnInternationalDisgrace #TrumpRussia #FuckTrump #LockThemAllUp #MAGAS are an embarrassment to this country. https://t.co/VJNw7FueQd",1,1,1,1
15,1051,Official press release of #SaveTheSaviours movement. These are the demands for resuming all duties.     #DoctorsFightBack #Savethedoctors #SaveTheSaviours https://t.co/2XC4BjnnRI,1,1,1,1
16,3162,Doctors wearing black badge protest at MGM Medical College and Hospital in Jamshedpur for #WestBengal issue  #DoctorsFightBack,1,1,1,0
17,2627,"@MattHancock - “MY job first, MY party second, MY country third”  - #thatsall #nothingtoseehere #nointegrity #BREXIT #matthancock #leadershipdebate #leadershiphustings #BorisJohnsonShouldNotBePM #boristrump",1,1,1,1
18,1428,"Trump told the American people he had nothing to do w Russia, all while negotiating a major real estate deal in Moscow that would've req'd the support of Putin &amp; lifting of U.S. sanctions against Russia. Now, the investigation is over &amp; Trump blatantly admitted to it.  #FuckTrump",1,1,1,1
19,6074,Wow u jumped in as joker...do u think u can dictate things. If u want to be real secular then stop writing Halala on food and then say 'food has no religion'..  Don't push ur world view on all of us,1,0,0,1
20,5112,I would like to un-welcome @_REALOJ32 to twitter and since I’ve already #InstaBlocked him.  Please reply to all his tweets with #Murderer,0,1,0,0
21,1534,#BorisJohnson isn't daft- he wasn't on #C4Debate and he didn't attend the Q&amp;A because no-one involved in either of those has any say in the vote... He thinks he's already won #BorisJohnsonShouldNotBePM https://t.co/HOGq9wz56I,0,1,1,1
22,1778,Hi Dear @ICC Mumbai too is ready for your kind of #WorldCup2019   Just FYI     #CWC19 #CricketKaCrown #WashoutWorldCup #ShameOnICC https://t.co/vRSWvj1ENL,1,1,1,1
23,958,Doctors at #Cuttack district headquarters hospital wear black badges to express solidarity with their counterparts protesting violence against some junior doctors in West Bengal #DoctorsFightBack #DoctorsStrike https://t.co/EX35msTNVJ,1,1,1,1
24,3059,"I have no doubt my mental well being has been affected by what my country is turning into. It makes me sick. I had no idea how many stupid, racist evil people live in this country. #fucktrump",1,1,1,1
25,6366,No it isn't and no you don't you lying swine. You are a self serving buffoon and you're here to suck up to your fellow corrupt 'politicians' in the DUP until you're in a position to throw them under a bus.,0,1,0,0
26,387,"#Rangzen people, #watchout for this fake activist from sabotaging our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #TibetCause https://t.co/lbwCJDmVYN",0,1,1,0
27,6310,I think it's due to folk not understanding the history or even knowing N.I.,1,1,0,0
28,1982,@maydaymindy9 @melpriceHB Definitely not alone!! I want my normal life back!! Want to stress about normal shit not this stuff. Im drained but still resisting!! #HappyJohnMcCainDay2019 #FuckTrump,1,0,0,0
29,1565,@ICC @bcci @msdhoni #DhoniKeepsTheGlove     If u can allow namaz on ground    If u allow save gaza band    If u allow salute on ground    Then whats wrong in balidaan badge    R u a fool icc or its clear u hv double standard u r not keeping ur words    World doesn't need icc,0,1,0,0
30,4483,Boris Johnson on Gordon Brown becoming Prime Minister     This mans HYPOCRISY is unbelievable     #borisjohnsonisaclown #BorisJohnsonShouldNotBePM   #FBPE https://t.co/PDx83vd7uz,1,1,1,1
31,5686,@petertimmins3 I don't think it's a case of him not daring to appear but of his minders knowing what a risk it is every time he opens his mouth. Who will control him if he becomes PM? #BorisJohnsonShouldNotBePM,1,1,1,0
32,4158,"What a shameful @ICC @cricketworldcup .  You dont have any problem with the logo’s of drinks, tobacco , cold drinks , Whichever is injurious to health but an INDIAN Balidan badge is a problem for u... Strange isn’t it ? #DhoniKeepsTheGlove #DhoniKeSaathDesh @BCCI @msdhoni",0,1,1,0
33,2801,"@Allegedly_G We shall call it the #Impeachment Gala and celibrate for 96 hours, from #TraitorTuesday to #FuckTrump Friday, with huge parades from sea to shining sea. https://t.co/o7iiO78sVx",1,1,0,0
34,3982,@9NEWS Of course @HillaryClinton would support a Woman on her Knees!     That’s the only way @BillClinton will likes them!     #Clinton #DemocratsAreCorrupt #monica #cigars #clintoncrime #haiti #bleachbit #benghazi #rapist #Fakefeminist #groperinchief #imwithHer #pridemonth,0,1,0,0
35,5057,Oh shit! It's been a while.  I forgot Twitter was a thing!   (Said Trump never)  #potus #trump #you #dickhead,1,1,1,1
36,5903,At least they told both of you to basically fuck off ,1,1,1,1
37,3310,@NegarMortazavi @csdickey ”At the end of the day they (wars) are about little girls in fiberboard coffins.” #FuckTrump and US foreign policies. It’s all about others little girls in coffins.,0,0,0,0
38,66,"Sarah Sanders is floating the idea of running for Arkansas governor, sources say #Resist #ResistTrump #FuckTrump https://t.co/L78qmZDJWu",1,1,0,1
39,5189,"So #Individual1 keeps praising #KimJongUn, a #criminal #murderer #dictator as somebody with great leadership who just wrote him a 'beautiful letter' WTF!",0,1,0,0
40,2176,#Sachin Tandolker : a Biography || #ParallelMedia | https://t.co/UHegopogBS via @YouTube  #IndiaWithDhoni  #WWESSD  #DhoniKeSaathDesh  #DhoniKeepsTheGlove  #BharatRoarsOnDay3  #Kundru  #BIGDAYSGAZEONTANHAJI  #KNACKDHANUSHBIRTHDAYIN50D   #Thiem  #SaketKumar,1,1,1,1
41,5948,One of my class mate was.... I didn't doubt on their loyalty... But i am against the basic consept & foreign involvement in their religion  It is just to disgrace islam,0,0,0,0
42,2451,"Except for a reversal on position of DACA, except Trump's properties are among the employers taking advantage of illegal immigrants, except Trump lowered the number of refugees the US will accept.  But, yeah, pretty much the same.",0,1,0,1
43,3445,The #douchebag of social media has greatly struck #again! https://t.co/zGlM9sNMKY,1,1,1,1
44,5945,"West Bengal: State Health Department bus carrying representatives of doctors scheduled to meet CM Mamata Banerjee in Nabanna, today. ",1,1,1,1
45,6233,Mr Johnson Don’t forget about us across the Pond . PM Modi is looking forward to working with you . Brexit will bring a new era of Deep cooperation between India and Great Britain. ,1,1,0,1
46,3810,"Kid on a bike cycling down the road towards me, decides to try show off by taking his cap off, twirling it and catching it. Only he dropped it and fell off his bike a foot away from me.    #Dickhead.",1,1,1,1
